business_id,name,address,city,state,postal_code,data,score
1-591,Capital City Kitchen,53 WEST BROOKHAVEN DR N,ATLANTA,GA,30319,2015/06/03,75
1-32548,Capitol Commons Cafe,200 PIEDMONT AVE SE,ATLANTA,GA,30334,2015/05/15,89
1-27297,Captain Ds Seafood,3447 MAIN ST,COLLEGE PARK,GA,30349,2015/04/23,81
1-27298,Captain Ds Seafood,2065 METROPOLITAN PKWY S,ATLANTA,GA,30315,2015/02/10,95
1-25853,Caribou  Coffee,3487 NORTHSIDE PKWY,ATLANTA,GA,30327,2015/03/24,100
FSP-060-001233,Caribou Coffee,1000 PIEDMONT AVE STE C,ATLANTA,GA,30309,2015/06/02,100
FSP-060-001233,Caribou Coffee,1000 PIEDMONT AVE STE C,ATLANTA,GA,30309,2015/01/20,94
1-25546,Caribou Coffee,4520 ROSWELL RD,ATLANTA,GA,30342,2015/04/28,100
1-25867,Caribou Coffee,303 PEACHTREE CENTER AVE,ATLANTA,GA,30308,2015/04/15,89
1-29881,Caribou Coffee Company Inc,233 PEACHTREE ST,ATLANTA,GA,30303,2015/02/23,87
1-29509,CarriFresh,6810 - F SHANNON PKWY,UNION CITY,GA,30291,2015/02/09,90
1-628,Carrie Steele Pitts Home,667 FAIRBURN RD,ATLANTA,GA,30331,2015/02/26,96
1-628,Carrie Steele Pitts Home,667 FAIRBURN RD,ATLANTA,GA,30331,2015/02/18,86
1-23664,Carter G Woodson Elementary,1605 DONALD L. HOLLOWELL PKWY NW,ATLANTA,GA,30318,2015/05/04,100
1-27853,Carver High School,55 MCDONOUGH BLVD SE,ATLANTA,GA,30315,2015/03/19,99
FSP-060-001566,Casablanca Company,400 CARLTON RD UNIT A,PALMETTO,GA,30268,2015/04/29,90
1-23379,Cascade Elementary School,2326 VENETIAN DR SW,ATLANTA,GA,30311,2015/03/09,95
1-18778,Cascade Family Skating,3335 MARTIN LUTHER KING JR. DR,ATLANTA,GA,30331,2015/04/27,93
1-26967,Cascades Restaurant,5955 NORTH POINT PKWY,ALPHARETTA,GA,30022,2015/02/09,92
FSP-060-001398,Caseys Sunrise Cafe,5660 NEW NORTHSIDE DR,ATLANTA,GA,30328,2015/01/26,87
FSP-060-000572,Casseroles LLC,1393 NORTH HIGHLAND AVE STE 4,ATLANTA,GA,30306,2015/03/19,92
FSP-060-002458,CCP South America,310 NORTH AVE,ATLANTA,GA,30313,2015/04/24,100
FSP-060-002399,Cedar Grill,1197 PEACHTREE ST STE 504,ATLANTA,GA,30361,2015/04/06,100
1-647,Centennial High School,9310 SCOTT RD,ROSWELL,GA,30076,2015/03/10,100
1-23413,Centennial Place Elementary School,531 LUCKIE ST NW,ATLANTA,GA,30313,2015/03/09,96
1-29840,Centennial Place Family YMCA,555 LUCKIE ST,ATLANTA,GA,30313,2015/06/03,95
FSP-060-002309,Centre Cafe,3490 PIEDMONT RD STE 114,ATLANTA,GA,30305,2015/03/19,83
FSP-060-002440,Century Center Cafe 2,4125 WELCOME ALL RD,ATLANTA,GA,30349,2015/06/04,92
FSP-060-002440,Century Center Cafe 2,4125 WELCOME ALL RD,ATLANTA,GA,30349,2015/06/04,92
1-662,Chaplins,555 SOUTH ATLANTA ST STE B-100,ROSWELL,GA,30075,2015/06/01,67
2-31591,Chapman Drug Co Inc,615 NORTH CENTRAL AVE,HAPEVILLE,GA,30354,2015/01/05,100
FSP-060-002653,Chastain Tavern,4629 WIEUCA RD,ATLANTA,GA,30342,2015/06/04,58
1-673,Chattahoochee High School,5230 TAYLOR RD,ALPHARETTA,GA,30201,2015/03/09,100
1-21004,Checkers,5175 OLD NATIONAL HWY,COLLEGE PARK,GA,30349,2015/05/07,85
1-678,Checkers 626,3169 CAMP CREEK PKWY,EAST POINT,GA,30334,2015/02/24,98
1-678,Checkers 626,3169 CAMP CREEK PKWY,EAST POINT,GA,30334,2015/02/23,75
1-679,Checkers 780,989 SPRING ST,ATLANTA,GA,30309,2015/01/27,97
1-684,Checkers 307,211 CLEVELAND AVE,ATLANTA,GA,30315,2015/05/28,97
1-32643,Checkers  Peachtree Center,233 PEACHTREE ST NE STE B46,ATLANTA,GA,30303,2015/03/24,99
FSP-060-001654,Checkers Restaurant C1143,3566 MARTIN LUTHER KING DR,ATLANTA,GA,30331,2015/06/05,92
FSP-060-001771,Cheeseburger Bobbys,4371 ROSWELL RD,ATLANTA,GA,30342,2015/05/08,97
1-690,Cheetah III Lounge,887 SPRING ST NW,ATLANTA,GA,30308,2015/03/18,98
1-690,Cheetah III Lounge,887 SPRING ST NW,ATLANTA,GA,30308,2015/01/28,98
1-12756,Chef For A Night,499 PEACHTREE ST,ATLANTA,GA,30308,2015/03/19,100
FSP-060-002188,Chef Lowell LLC Catering,1185 RESEARCH CENTER,ATLANTA,GA,30331,2015/04/27,91
1-29425,Chef Rob Caribbean Cafe,5920 ROSWELL RD,ATLANTA,GA,30328,2015/01/25,96
2-31606,Cherokee Town & Country Club Williams Room Bar,155 W PACES FERRY NW,ATLANTA,GA,30305,2015/01/14,100
1-703,Cherokee Town and Country Club Snack,155 WEST PACES FERRY RD,ATLANTA,GA,30305,2015/01/14,100
1-32498,Cherokee Town And Country Club Downstairs Kitchen,155 W PACES FERRY NW,ATLANTA,GA,30305,2015/01/14,100
